bowler,runs_conceded,balls_bowled,matches,overs,economy,wickets,bowling_avg
RN ten Doeschate,94,83,10,13.833333333333334,6.8,3,31.33
MJ Clarke,72,66,5,11.0,6.55,3,24.0
AK Markram,173,123,14,20.5,8.44,2,86.5
Mayank Dagar,205,138,8,23.0,8.91,2,102.5
P Suyal,154,107,5,17.833333333333332,8.64,2,77.0
WG Jacks,100,55,5,9.166666666666666,10.91,2,50.0
MK Lomror,127,94,11,15.666666666666666,8.11,2,63.5
A Badoni,37,25,5,4.166666666666667,8.88,2,18.5
Abdul Samad,113,55,5,9.166666666666666,12.33,2,56.5
KJ Abbott,182,102,5,17.0,10.71,2,91.0
Shoaib Malik,87,58,5,9.666666666666666,9.0,2,43.5
LJ Wright,125,75,6,12.5,10.0,2,62.5
MK Tiwary,83,45,6,7.5,11.07,1,83.0
D Salunkhe,80,51,5,8.5,9.41,1,80.0
AA Jhunjhunwala,130,88,10,14.666666666666666,8.86,1,130.0
CL White,86,46,6,7.666666666666667,11.22,1,86.0
GH Vihari,48,43,6,7.166666666666667,6.7,1,48.0
AC Voges,76,56,7,9.333333333333334,8.14,1,76.0
SE Rutherford,60,46,6,7.666666666666667,7.83,1,60.0
AJ Finch,67,44,5,7.333333333333333,9.14,1,67.0
K Goel,94,67,6,11.166666666666666,8.42,0,999.0
AS Raut,45,30,5,5.0,9.0,0,999.0
KR Mayers,59,46,6,7.666666666666667,7.7,0,999.0
