player,total_runs,balls_faced,fours,sixes,innings,strike_rate,avg_runs_per_innings
MN Samuels,161,174,9,7,14,92.53,11.5
R McLaren,159,178,14,1,13,89.33,12.23
RE van der Merwe,159,144,11,8,15,110.42,10.6
D Wiese,148,105,12,7,11,140.95,13.45
AD Hales,148,119,13,6,6,124.37,24.67
SM Pollock,147,116,12,8,8,126.72,18.38
S Vidyut,145,115,21,3,8,126.09,18.12
Sachin Baby,144,123,11,5,11,117.07,13.09
Naman Dhir,140,84,12,10,7,166.67,20.0
N Saini,140,143,16,0,10,97.9,14.0
Anmolpreet Singh,139,117,19,3,9,118.8,15.44
S Anirudha,136,121,9,7,12,112.4,11.33
SB Styris,131,134,10,3,10,97.76,13.1
W Jaffer,130,129,14,3,8,100.78,16.25
RD Chahar,129,127,13,5,22,101.57,5.86
Kamran Akmal,128,78,13,8,6,164.1,21.33
P Dogra,127,141,4,5,12,90.07,10.58
UT Khawaja,127,105,14,3,6,120.95,21.17
TK Curran,127,108,10,3,10,117.59,12.7
M Morkel,126,93,11,5,20,135.48,6.3
SS Prabhudessai,126,113,11,4,10,111.5,12.6
BB Samantray,125,116,13,2,8,107.76,15.62
MC Juneja,125,134,11,1,7,93.28,17.86
MM Sharma,124,137,9,4,28,90.51,4.43
B Lee,124,102,8,8,19,121.57,6.53
AB McDonald,123,103,9,4,9,119.42,13.67
Harpreet Singh,123,119,10,3,8,103.36,15.38
DL Vettori,121,118,11,2,16,102.54,7.56
NK Patel,121,124,14,1,6,97.58,20.17
TG Southee,120,108,8,4,19,111.11,6.32
AC Blizzard,120,91,21,2,7,131.87,17.14
Misbah-ul-Haq,117,82,10,6,8,142.68,14.62
Z Khan,117,141,11,2,27,82.98,4.33
MW Short,117,99,15,4,6,118.18,19.5
RJ Harris,117,112,6,3,21,104.46,5.57
KK Cooper,116,70,9,8,12,165.71,9.67
R Shepherd,115,68,7,10,9,169.12,12.78
DJM Short,115,102,11,5,7,112.75,16.43
Aman Hakim Khan,115,109,8,6,10,105.5,11.5
M Kartik,113,109,7,1,14,103.67,8.07
Mohammed Siraj,109,122,10,4,20,89.34,5.45
LJ Wright,106,63,16,3,5,168.25,21.2
JDP Oram,106,110,6,5,11,96.36,9.64
SE Rutherford,106,107,3,8,9,99.07,11.78
MA Starc,105,109,11,0,16,96.33,6.56
DS Kulkarni,104,113,7,2,20,92.04,5.2
RJ Quiney,103,105,12,3,7,98.1,14.71
MS Gony,99,76,6,8,15,130.26,6.6
SD Chitnis,99,92,10,2,8,107.61,12.38
MJ Clarke,98,96,12,0,6,102.08,16.33
CJ Ferguson,98,119,9,0,8,82.35,12.25
PN Mankad,97,75,13,2,5,129.33,19.4
Arshad Khan,96,67,5,6,6,143.28,16.0
DJ Jacobs,92,101,10,4,7,91.09,13.14
JDS Neesham,92,93,6,2,10,98.92,9.2
PR Shah,92,97,9,2,9,94.85,10.22
AJ Tye,91,79,6,5,13,115.19,7.0
RT Ponting,91,129,5,2,9,70.54,10.11
S Rana,91,82,9,1,8,110.98,11.38
AD Nath,90,99,7,2,10,90.91,9.0
Iqbal Abdulla,88,86,9,1,13,102.33,6.77
SL Malinga,88,103,6,5,20,85.44,4.4
Ankit Sharma,87,69,7,4,10,126.09,8.7
MJ McClenaghan,85,73,5,7,20,116.44,4.25
RE Levi,83,74,10,4,6,112.16,13.83
TA Boult,83,82,5,3,22,101.22,3.77
NM Coulter-Nile,82,75,7,4,16,109.33,5.12
WPUJC Vaas,81,73,2,3,11,110.96,7.36
Shahid Afridi,81,46,7,6,9,176.09,9.0
CJ Jordan,81,81,3,3,12,100.0,6.75
LA Carseldine,81,71,11,0,5,114.08,16.2
RV Patel,80,76,6,2,7,105.26,11.43
DL Chahar,80,61,2,6,12,131.15,6.67
AD Mascarenhas,79,79,5,1,11,100.0,7.18
CR Woakes,78,77,7,2,12,101.3,6.5
JR Philippe,78,80,9,1,5,97.5,15.6
IR Jaggi,76,100,6,0,7,76.0,10.86
B Akhil,76,57,5,5,11,133.33,6.91
TR Birt,75,59,9,2,5,127.12,15.0
Mohammed Shami,74,82,6,2,23,90.24,3.22
PWH de Silva,72,80,7,1,14,90.0,5.14
MJ Santner,70,77,4,3,11,90.91,6.36
J Suchith,70,62,6,3,9,112.9,7.78
AA Bilakhia,69,88,5,0,7,78.41,9.86
